quote_id,symbol_id,date_id,time_id,exchange_id,bid_price,ask_price,bid_size,ask_size,spread,mid_price,event_ts
597,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02758,1.76237,0.00999999999476131,66301.715,2026-03-31 02:24:08.228000
598,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02758,1.77089,0.00999999999476131,66301.715,2026-03-31 02:24:08.229000
599,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02758,1.84102,0.00999999999476131,66301.715,2026-03-31 02:24:08.229000
600,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02766,1.84102,0.00999999999476131,66301.715,2026-03-31 02:24:08.229000
601,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02766,1.72738,0.00999999999476131,66301.715,2026-03-31 02:24:08.229000
602,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02766,1.76738,0.00999999999476131,66301.715,2026-03-31 02:24:08.229000
603,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02766,1.77039,0.00999999999476131,66301.715,2026-03-31 02:24:08.229000
604,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02766,1.77055,0.00999999999476131,66301.715,2026-03-31 02:24:08.230000
605,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02766,1.88455,0.00999999999476131,66301.715,2026-03-31 02:24:08.230000
606,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02766,2.09375,0.00999999999476131,66301.715,2026-03-31 02:24:08.230000
607,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02766,2.09537,0.00999999999476131,66301.715,2026-03-31 02:24:08.230000
608,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02782,2.09537,0.00999999999476131,66301.715,2026-03-31 02:24:08.230000
609,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02782,2.11166,0.00999999999476131,66301.715,2026-03-31 02:24:08.230000
610,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02782,2.1141,0.00999999999476131,66301.715,2026-03-31 02:24:08.231000
611,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02782,2.2691,0.00999999999476131,66301.715,2026-03-31 02:24:08.231000
612,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.0279,2.2691,0.00999999999476131,66301.715,2026-03-31 02:24:08.231000
